No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
47,1.2-2 keV Chandra,2.1151e-14,1.9673e-15,1.9673e-15,erg/cm^2/s,3.77206321765247e+17,5.60732558074792e-09,5.21542755583067e-10,5.21542755583067e-10,,,2115118657.2541,196729224.4768,196729224.4768,,,Chandra,"ACIS, HRC-I",1.56,keV,flux in fixed aperture,2020CSC...C2..0000:
48,1.2-2 keV Chandra,2.0625e-13,4.7255e-15,4.7255e-15,erg/cm^2/s,3.77206321765247e+17,5.46781661249406e-08,1.25277064476425e-09,1.25277064476425e-09,,,20624949924.858,472553006.927,472553006.927,,,Chandra,"ACIS, HRC-I",1.56,keV,flux in fixed aperture,2020CSC...C2..0000:
49,1.2-2 keV Chandra,1.9835e-14,1.9162e-15,1.9162e-15,erg/cm^2/s,3.77206321765247e+17,5.25850381914715e-09,5.08010367715568e-10,5.08010367715568e-10,,,1983540883.609,191624722.2246,191624722.2246,,,Chandra,"ACIS, HRC-I",1.56,keV,from fitting to map,2020CSC...C2..0000:
50,0.1-10 keV Chandra,1.229e-11,7.7065e-14,7.7065e-14,erg/cm^2/s,3.62698386312738e+17,3.38856913884824e-06,2.12478116744501e-08,2.12478116744501e-08,,,1229028558569.4,7706547006.99999,7706547006.99999,,,Chandra,"ACIS, HRC-I",1.5,keV,flux in fixed aperture,2020CSC...C2..0000:
51,0.1-10 keV Chandra,1.1667e-11,7.0943e-14,7.0943e-14,erg/cm^2/s,3.62698386312738e+17,3.21661322397515e-06,1.95598218465269e-08,1.95598218465269e-08,,,1166660425728.0,7094315820.29994,7094315820.29994,,,Chandra,"ACIS, HRC-I",1.5,keV,from fitting to map,2020CSC...C2..0000:
52,0.7-2 keV (ASCA),5.8e-12,,,erg/cm^2/s,3.26000009e+17,1.77914105517709e-06,,,,,580000000000.0,,,,,ASCA,GIS,1.35,keV,flux integrated from map or image,2001ApJS..133....1U
53,0.1-2.4 keV (ROSAT),3.55e-11,1.66e-12,1.66e-12,erg/cm^2/s,3.25000003e+17,1.09230768222485e-05,5.10769226054438e-07,5.10769226054438e-07,,,3550000000000.0,166000000000.0,166000000000.0,,,ROSAT,?,1.3,keV,flux integrated from map or image,1994A&A...281..355B
54,0.5-2 keV (XMM),1.113e-11,,,erg/cm^2/s,3.02000007e+17,3.68543037815228e-06,,,,,1113000000000.0,,,,,XMM-Newton,"EPIC (MOS1, MOS2, pn)",1.25,keV,flux integrated from map or image,2006A&A...446..459C
55,0.5-2 keV (ASCA),1.02e-11,,,erg/cm^2/s,3.02000007e+17,3.37748336542257e-06,,,,,1020000000000.0,,,,,ASCA,GIS,1.25,keV,modelled datum,2007AJ....134.1263C
56,0.5-1.2 keV Chandra,3.0674e-13,4.6993e-15,4.6993e-15,erg/cm^2/s,2.22455010271813e+17,1.37888441870894e-07,2.11245356444797e-09,2.11245356444797e-09,,,30673974752.754,469925879.378,469925879.378,,,Chandra,"ACIS, HRC-I",0.92,keV,from fitting to map,2020CSC...C2..0000:
57,0.5-1.2 keV Chandra,3.206e-13,5.3021e-15,5.3021e-15,erg/cm^2/s,2.22455010271813e+17,1.44117510773936e-07,2.38343464478572e-09,2.38343464478572e-09,,,32059662339.564,530206978.388001,530206978.388001,,,Chandra,"ACIS, HRC-I",0.92,keV,flux in fixed aperture,2020CSC...C2..0000:
58,0.2-0.5 keV Chandra,2.7537e-13,5.0608e-15,5.0608e-15,erg/cm^2/s,9.67195696833967e+16,2.84709836556491e-07,5.23241082748403e-09,5.23241082748403e-09,,,27537012876.374,506076523.641001,506076523.641001,,,Chandra,"ACIS, HRC-I",0.4,keV,from fitting to map,2020CSC...C2..0000:
